date,prices,market_caps,total_volumes
2019-09-18,0.1144031556191624,181921868.8926456,51190435.93994769
2019-09-19,0.0782093621657847,122042999.7157996,4343889.00895705
2019-09-20,0.057816042038081,93471509.82404302,26900818.2774817
2019-09-21,0.0525699761918529,86997867.69222786,15858286.671405315
2019-09-22,0.0479905218140346,82197489.87433445,13092025.652961418
2019-09-23,0.039744693976009,69517033.7414375,10537901.511443356
2019-09-24,0.0378187991163208,67114068.60201465,11326591.125456944
2019-09-25,0.0295297295137601,56377440.58075029,11941167.765984274
2019-09-26,0.0301421871099427,19441751.30503756,8920159.193790764
2019-09-27,0.0289428055214688,18701589.194600083,5182540.970721739
2019-09-28,0.0369949041195271,23862367.92990303,11947097.85567545
2019-09-29,0.0399360922673301,25542872.673248213,11221529.12416104
2019-09-30,0.0356741055141367,23060906.27947901,13674976.964697983
2019-10-01,0.037943657661578,24493870.34086961,20867801.366431225
2019-10-02,0.0376091782813182,73395606.78132702,5643608.633288588
2019-10-03,0.0376091782813182,73395606.78132702,5643608.633288588
2019-10-04,0.0381718560127541,24332545.85295131,5450297.808694491
2019-10-05,0.0386801308377213,24531330.387781058,5624962.663130261
2019-10-06,0.041882663703918,26679335.97620821,11887635.411776828
2019-10-07,0.0380173160135739,24198772.522648383,4223206.935569445
2019-10-08,0.038136294602974,24252607.23102387,4891488.448047395
2019-10-09,0.0386748548914875,24619379.46072205,3913386.309080131
2019-10-10,0.0390783131551204,0.0,4652610.458871537
2019-10-11,0.0381358187195321,24274049.749892708,3249050.602357329
2019-10-12,0.0358094908856281,22788598.94091064,2989456.064439865
2019-10-13,0.0350114195199589,22285320.40945974,2189144.4469848294
2019-10-14,0.0330769085103794,21167879.459191088,2449780.267740424
2019-10-15,0.037218016552009,23765408.661552977,5511079.714062539
2019-10-16,0.038085700542189,24404838.626859576,5766685.4501610445
2019-10-17,0.0373461524879033,23643017.38712567,5247251.939613227
2019-10-18,0.0352776635535806,25038002.732321247,3691756.499943716
2019-10-19,0.0338926456732684,24073226.7739702,3261469.0549417054
2019-10-20,0.0335529012128491,23853814.15846948,2210655.2935017087
2019-10-21,0.0332483492609292,23515393.153852224,2199985.798265821
2019-10-22,0.0333690490295443,23777212.507619053,2529723.130071328
2019-10-23,0.0316104544714587,22486874.52495283,3341576.973397691
2019-10-24,0.0280389032066778,22573277.068144828,4742153.771767817
2019-10-25,0.0287999620051489,23388580.24291997,3074024.874698936
2019-10-26,0.030693857879365,24666552.38368136,5030346.358621036
2019-10-27,0.030797277384291,24682622.588861264,4389404.814605432
2019-10-28,0.0316806885626734,25495879.58334712,2867553.1434227177
2019-10-29,0.0317906589104679,25753935.15840184,3907690.536098134
2019-10-30,0.0340092877222447,27524030.174453605,4667984.8727204455
2019-10-31,0.0328077047863836,26402875.96605991,3008995.487508796
2019-11-01,0.0332312939898546,26846745.04662592,2901998.012241939
2019-11-02,0.0348543017596184,28049929.497804016,3084632.44014781
2019-11-03,0.0344203500811542,27688840.564177115,1928301.2589129957
2019-11-04,0.036838570438937,29595582.353731755,4272690.951160766
2019-11-05,0.0363929185769756,29288172.44263918,6649138.93246646
2019-11-06,0.0362087242110345,29139937.11105309,2576523.4268634226
2019-11-07,0.0341857963879471,27489639.540962763,2844160.4831793844
