date,prices,market_caps,total_volumes
2019-10-26,0.3746082358279005,0.0,26751947.76457332
2019-10-27,0.2647735878452286,0.0,12090642.147253376
2019-10-28,0.2091738202407092,0.0,5562416.239173098
2019-10-29,0.2128086531240306,0.0,5505901.078412772
2019-10-30,0.211245267369952,0.0,1945305.8224079956
2019-10-31,0.1968778296233026,0.0,1389598.1229099536
2019-11-01,0.1923162742470217,0.0,3031440.8093909663
2019-11-02,0.1911792082960027,0.0,1558141.840179814
2019-11-03,0.1949027345332033,0.0,1649790.1047028378
2019-11-04,0.2335571389202911,0.0,8836108.479262529
2019-11-05,0.2217467414149306,0.0,7528887.102745808
2019-11-06,0.2206934746283289,0.0,4109786.40405432
2019-11-07,0.2028061490273816,78696403.185827,2612760.338282714
2019-11-08,0.2193351468028953,84631236.23155582,3685845.4868741287
2019-11-09,0.2150350582585931,83008021.7079316,3620059.109989107
2019-11-10,0.2049894844883965,79113057.78574376,3013133.3942398783
2019-11-11,0.1998638824168087,76963823.26936342,1715656.5484997432
2019-11-12,0.1951600511603926,75431103.68303828,1213719.6613628208
2019-11-13,0.1918848802566782,74127332.27849926,817045.1091783459
2019-11-14,0.1933971668023686,74663303.87135349,558630.5800009946
2019-11-15,0.1829379155837898,70712159.36552106,685494.7647157881
2019-11-16,0.184350330814787,71016507.02856702,1763876.9617615747
2019-11-17,0.1827137170200816,70783036.99336201,1076403.9713805018
2019-11-18,0.1785789790312384,68960131.17123742,654356.0790715914
2019-11-19,0.1674954188890361,71620223.93449917,866743.3146611018
2019-11-20,0.1571629601843169,66948573.87724619,1365513.8237871912
2019-11-21,0.1465829666273289,62529243.94269818,829094.745552308
2019-11-22,0.1297934652733863,55336136.29007711,1128855.5507757524
2019-11-23,0.1138217076325879,48516093.88865314,1759968.792760948
2019-11-24,0.1230539949554745,52511879.01854249,1964428.170268487
2019-11-25,0.1256880313522891,54330453.98635247,3633395.35607138
2019-11-26,0.1157793537001028,49380582.32461233,2430326.171765447
2019-11-27,0.1143117044509531,48879121.44852997,920876.1956604064
2019-11-28,0.1132595548253052,48485687.3680556,930677.7166665026
2019-11-29,0.1152756060016713,49164363.21676866,1039844.781043308
2019-11-30,0.116185367835501,49640783.52949909,586653.7246806077
2019-12-01,0.1100685478335075,46964509.80885587,398323.9894660756
2019-12-02,0.1067819254220144,45742704.3316984,284318.18920345727
2019-12-03,0.1049678458232925,44685641.55171053,355147.3017062207
2019-12-04,0.1015465160994585,43350222.09752786,634034.7472719135
2019-12-05,0.0968498017640164,41292894.62004613,546149.5386580279
2019-12-06,0.0934799028845825,39866069.85767429,371023.2232856182
2019-12-07,0.0987933830647811,42054417.22712967,533934.4224953447
2019-12-08,0.0946759077204121,40407572.70934799,281303.25426778133
2019-12-09,0.0997936650037229,42803451.1839672,647573.3970538082
2019-12-10,0.0985531966864373,41967549.31075814,678829.4982229489
2019-12-11,0.0904819635478505,38614326.33346428,444465.3415975994
2019-12-12,0.0884170550096958,38129396.06195191,174931.12056739524
2019-12-13,0.0844299423229395,36000653.933738135,331244.99032548675
2019-12-14,0.0855936766138869,36502452.38376331,310598.1950656407
2019-12-15,0.0821197209904877,35020753.901574664,152681.72741204157
2019-12-16,0.0916178981018385,39217769.19294687,1218036.1180037304
2019-12-17,0.0854988016150414,38726294.00721085,509932.09659681824
2019-12-18,0.0807882622153192,37785150.7279888,185507.32523883367
2019-12-19,0.0962451588487244,44887001.46699197,1237236.8033635912
2019-12-20,0.1183770913552193,55527711.2837363,4274682.938856523
2019-12-21,0.1121803330930986,52361397.53361921,2167403.4417367405
2019-12-22,0.1060302535460398,49650376.93250085,1404768.8077123442
2019-12-23,0.1226567124586842,57666365.85279939,3647627.601251304
2019-12-24,0.1230096517433403,57560730.02717243,2291575.892112867
2019-12-25,0.1266057647563476,59310123.21243201,1993750.7277718205
2019-12-26,0.1152761515759195,54078617.126398966,1364942.2396972943
2019-12-27,0.1138710908148109,53684594.708197385,953586.059973678
2019-12-28,0.1100379920793915,51442579.72667173,519188.1681853002
2019-12-29,0.1099505378574161,51423590.69960588,446214.4084139971
2019-12-30,0.1011511858710105,47280813.51673417,745418.619752059
2019-12-31,0.1014053506896817,47322971.89100292,410028.8144012085
2020-01-01,0.0951401608153902,44456248.69398133,296889.5020610157
2020-01-02,0.0982944436380912,45938227.892319255,294080.68132889306
2020-01-03,0.0897258058099977,42058468.96959405,741492.601900545
2020-01-04,0.0942215486646782,44084673.062256455,498344.5624309716
2020-01-05,0.0942842638662835,44033128.794350736,113356.7230957946
2020-01-06,0.0918152783148212,42795949.79506628,173410.14350478508
2020-01-07,0.0961921143302326,45059401.78475151,694348.4161650264
